Instance,Vehicles,Distance
C101,10,827.3
C102,10,827.3
C103,10,826.3
C104,10,822.9
C105,10,827.3
C106,10,827.3
C107,10,827.3
C108,10,827.3
C109,10,827.3
R101,20,1637.7
R102,18,1466.6
R103,14,1208.7
R104,10,982.01
R105,15,1355.3
R106,13,1234.6
R107,11,1064.6
R108,9,960.88
R109,13,1146.9
R110,12,1068
R111,12,1048.7
R112,9,982.14
RC101,15,1619.8
RC102,14,1457.4
RC103,11,1258
RC104,10,1135.48
RC105,15,1513.7
RC106,11,1424.73
RC107,11,1230.48
RC108,10,1139.82
C201,3,591.56
C202,3,591.56
C203,3,591.17
C204,3,590.60
C205,3,588.88
C206,3,588.49
C207,3,588.29
C208,3,588.32
R201,4,1252.37
R202,3,1191.70
R203,3,939.50
R204,2,825.52
R205,3,994.43
R206,3,906.14
R207,2,890.61
R208,2,726.82
R209,3,909.16
R210,3,939.37
R211,2,885.71
RC201,4,1406.94
RC202,3,1365.65
RC203,3,1049.62
RC204,3,798.46
RC205,4,1297.65
RC206,3,1146.32
RC207,3,1061.14
RC208,3,828.14
